,Unnamed: 0,id,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links,keywords_job,keywords_loc
0,0,0,Data Engineer,Carrefour Belgium,"Watermael-Boitsfort, Brussels Region, Belgium",Not informed.,2,"Job Description

Challenged by working with large volumes of data?
Challenged by solving complex problems on a daily basis?

The CMI Team delivers a compelling and consistent customer value proposition by capitalizing on our customer data and customer touch points.

The Customer Insights Team translates business strategies and objectives into customer analytics and data requirements. The Customer Insights Team advices (top) management on the best courses of action which will lead to a better customer experience, better commercial dynamics and to better profits for Carrefour.

As a data engineer, you will take the responsibility of understanding and anticipating the data needs behind our strategic AI use cases and developing state-of-the-art data engineering and machine learning solutions.

?

:

:",Mid-Senior level,Full-time,Information Technology,Marketing,https://be.linkedin.com/jobs/view/data-engineer-at-carrefour-belgium-1865689897?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"watermael-boitsfort, brussels region, belgium"
1,1,1,Data Engineer,Fourcast,"St-Lambrechts-Woluwe, Brussels Region, Belgium",Not informed.,5,"As a Google Cloud Data Engineer at Fourcast, your mission consists of transforming the way companies work by building solutions on the Google Cloud Platform. The Cloud, with emerging technologies like Machine Learning and Big Data, has evolved from concept to a trend and is becoming a must for many companies out there. We strongly believe that the Google Cloud Platform is the best option available.",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-fourcast-1881436338?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"st-lambrechts-woluwe, brussels region, belgium"
2,2,2,Data Engineer – m/f/x –,BNP Paribas Fortis,"Brussels, Brussels Region, Belgium",Not informed.,2,"Data Engineer – m/f/x –
      Willing to push the boundaries with us for a more sustainable world?",Entry level,Full-time,Information Technology,Project Management,https://be.linkedin.com/jobs/view/data-engineer-%E2%80%93-m-f-x-%E2%80%93-at-bnp-paribas-fortis-1863169933?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer – m f x –,"brussels, brussels region, belgium"
3,3,3,Data Engineer (BI),Visser & Van Baars BVBA,"Flemish Brabant, Flemish Region, Belgium",Not informed.,3,"Organisation
Our client is active in providing and managing ground equipment for airfields all around the globe. Currently they are active as European leader and in the transition into becoming global leader within their domain. They have a down to earth culture where coherence is of high importance. They put their people first which results into a healthy and pleasant place to work at. If you feel the following values are in line with your needs, then this might be the perfect next work environment for you: passion, proactiveness, integrity, open mindset, transparancy & accountability.  ",Mid-Senior level,Full-time,Information Technology,Aviation & Aerospace,https://be.linkedin.com/jobs/view/data-engineer-bi-at-visser-van-baars-bvba-1910870052?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer (bi),"flemish brabant, flemish region, belgium"
4,4,4,Data Engineer - McKinsey Digital,McKinsey & Company,"Brussels, Brussels Region, Belgium",Not informed.,4,"Apply Now

Qualifications
Bachelor's degree in computer science or equivalent; Masters degree preferred



You'll be part of our Benelux Hub as part of our McKinsey Digital team.

Digital McKinsey brings together the best of McKinsey’s digital capabilities to help our clients use digital technology to transform their businesses. As part of this group, you’ll join a global team working on everything from IT modernization and strategy to agile, cloud, cybersecurity, and digital transformation. You’ll typically work on projects across all industries and functions and will be fully integrated with the rest of our global firm.

You’ll also work with colleagues from across McKinsey and Company to help our clients deliver breakthrough products, experiences, and businesses, both on technology and non-technology topics. Our office culture is casual, fun and social, with an emphasis on education and innovation. We have the freedom to try new ideas, experiment and are expected to be constantly learning and growing. There is also a strong emphasis on mentoring others in the group, enabling them to grow and learn.


You will be a hands-on expert who connects and models complex distributed data sets to build repositories, such as data warehouses, data lakes, using appropriate technologies.

You will work with our clients and other McKinsey experts, such as Data Scientists and Architects to design and build cutting edge (big) data solutions. You'll be a go-to expert for tackling data related contexts ranging across addressing small to large data sets, structured/unstructured or streaming data, extraction, transformation, curation, modelling, building data pipelines, identifying right tools, writing SQL/Java/Scala code, etc.",Associate,Full-time,Information Technology,Project Management,https://be.linkedin.com/jobs/view/data-engineer-mckinsey-digital-at-mckinsey-company-1713973215?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer - mckinsey digital,"brussels, brussels region, belgium"
5,5,5,Data Engineer,Bridgers,"Brussels Region, Belgium",Not informed.,3,"Who you are
Your work approach is structured & pro-active. You enjoy being pragmatic and result oriented. You have no problems with working is a small team setting. You are a tactful communicator and have a great set of interpersonal skills (tact, diplomacy, influence).",Mid-Senior level,Full-time,Information Technology,Financial Services,https://be.linkedin.com/jobs/view/data-engineer-at-bridgers-1862675177?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"brussels region, belgium"
6,6,6,Data Engineer,Vivid Resourcing Ltd,"Mechelen, Flemish Region, Belgium",Not informed.,3,"My Client is looking for a Junior and Senior data engineer who is looking to become part of a brilliant team of data scientists and data engineers. 
  As a Data Engineer you will be working on implementing complex and large scale big data projects with a focus on collecting, parsing, managing, analyzing and visualizing large datasets to turn raw data into insights using multiple toolsets, techniques and cloud based platforms.",Mid-Senior level,Full-time,Information Technology,Consulting,https://be.linkedin.com/jobs/view/data-engineer-at-vivid-resourcing-ltd-1863150072?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"mechelen, flemish region, belgium"
7,7,7,Data Engineer,Easyfairs,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,7,"Easyfairs has started the transition to better leverage its data to improve our decision making and our customer experience. To be able to achieve this, we are looking for data engineers that aim for innovation and quality, and with a customer centric mindset.



Working from our head office in Brussels and reporting to the Head of Data Intelligence, you – as our new Data Engineer - will be responsible for






To help us achieve these goals you should have experience or the eagerness to learn the following skills

Within the Data intelligence team, we are launching several long term initiatives focused on “Visit the future” that will bring high business impact throughout the Easyfairs group.




You will get the opportunity to work in a fast growing multinational company that aims for innovation, experimentation and a strong eye on quality.

You will learn new skills through challenging projects and will be supported with an individual training plan tailored to your needs and interests.

As the team is growing rapidly you will have immediate impact on the way data is being used at Easyfairs.",Entry level,Full-time,Information Technology,Logistics and Supply Chain,https://be.linkedin.com/jobs/view/data-engineer-at-easyfairs-1904620890?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"brussels, brussels region, belgium"
8,8,8,Data Engineer – m/f/x – Enabler,BNP Paribas,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,2,"Data Engineer – m/f/x –

Willing to push the boundaries with us for a more sustainable world?

You are passionate about Data, you are proactive and eager to learn, you know what it means to work in an Agile mode, and you want to join one of the key players within the banking sector? We look to strengthen our functional as well as our technical data engineering teams.

Within the Data Department, the Data Hub tribe is looking for motivated & proactive Data Engineers (Functional & Technical) to reinforce our team, with 3 to 5 years of relevant experience. You will have the possibility to work for several of our internal customers and gain key insights on how data can be captured, organized and enhanced, to support fact base decision making as well as improve business actions, throughout the whole Bank.

Your future job



The Data Hub tribe is working closely with all the other departments of the Bank and plays a major role in

What will you do?

As DATA Engineer,

Highlight your strengths

Because as a technical data engineer



Thanks to the daily commitment of our more than 12,000 employees, BNP Paribas Fortis aims to be a responsible and sustainable leader and the preferred partner of our clients over the long term. Being the bank for a changing world means accompanying them through the changes they experience on a daily basis to help them achieve their projects. It also means reconciling our customers’ individual, collective and professional challenges to build a more sustainable world together.

Tempted by the challenge?

Interested in this function? Do not hesitate to apply online.



BE-BRU-Brussels



Standard / Permanent



DATA



Master Degree or equivalent (> 4 years)



At least 3 years



Full-time



Specialist



BNP Paribas Fortis",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-%E2%80%93-m-f-x-%E2%80%93-enabler-at-bnp-paribas-1892777471?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer – m f x – enabler,"brussels, brussels region, belgium"
9,9,9,Data Engineer,Business & Decision Belgium,"Watermael-Boitsfort, Brussels Region, Belgium",Be among the first 25 applicants,2,"Business & Decision is looking for consultants to reinforce its Data intelligence practice. Are you passionate about development? Do you have a strong interest in data, clean code, unit testing, continuous development? If you are eager to master the storage, organization and exploitation of PBs (petabytes) of data, you should probably keep on reading!",Associate,Full-time,Consulting,Information Technology,https://be.linkedin.com/jobs/view/data-engineer-at-business-decision-belgium-1869815194?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"watermael-boitsfort, brussels region, belgium"
10,10,10,Data Engineer,Brainbridge - IT Staffing,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,2,"Project description
De Data engineer is in eerste instantie verantwoordelijk voor:
het analyseren van behoeften;
de ontwikkeling, de creatie, de testing en het onderhoud van de data architectuur;



SAP Hana
Wenselijke competenties die minder noodzakelijk zijn:

Algemeen:",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-brainbridge-it-staffing-1866276514?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"brussels, brussels region, belgium"
11,11,11,Data Engineer,Anankei,"Zaventem, Flemish Region, Belgium",Be among the first 25 applicants,5,"Description: Project ERP Integration BI PM

Beschrijving van de missie
Missie bij een dynamisch overheidsbedrijf dat actief bijdraagt aan een duurzame mobiliteit ten dienste van de sociale en economische ontwikkeling in België. Als infrastructuurbeheerder van het Belgische spoornet heeft het als opdracht een competitieve en aan de huidige en toekomstige behoeften aangepaste infrastructuur ter beschikking te stellen van de spoorwegondernemingen. Veiligheid en stiptheid staan hierbij centraal.

I-ICT ondersteunt alle directies bij het ontwerpen, leveren, in dienst stellen en onderhouden van alle informatica (Information Technology – IT) en Telecom (Communication Technology – CT) oplossingen nodig voor het beheer van het spoorwegnetwerk.

Voor haar eigen behoeften is « ERP Solutions » (I-ICT42) op zoek naar een kandidaat die enerzijds werkt aan de verdere behoeften in het kader van management reporting en anderzijds analyse en simulaties doet om mogelijke afhankelijkheden beter in kaart te brengen.

Om de continuïteit van het goed functioneren van het BI platform te garanderen is het SAP BI Team op zoek naar een Data Engineer (BI Designer)

Je werkzetel bevindt zich in Brussel, in de onmiddellijke omgeving van het station Brussel-Zuid.

Scope



Sprint reporting (SAP PM module for ITIL mgmt.)
KPI dashboarding for mgmt.
Global datamart model for PM purposes
Power BI report integration
GIS visuals in power bi
Model integration to DataLake

Delivrables

De nodige data extraheren uit de data sources & de nodige ETL bewerkingen hierop toepassen. Om deze weg te schrijven naar een datawarehouse of data lake.

Ontwerpen van data modellen & data marts, die aan de business noden beantwoorden.

Zorgen voor een kwalitatieve handover to run overdracht: documentatie, autorisaties, testing, enz.

Indicatie verwacht rol: Data Engineer



het analyseren van behoeften;
de ontwikkeling, de creatie, de testing en het onderhoud van de data architectuur;
de integratie van nieuwe databronnen, datamanagement technologieën en software tools in bestaande structuren;
het evalueren van mogelijke oplossingen rekening houdende met kosten, risico’s, toekomstige evoluties (functioneel + technisch), impact op maintenance, …;
levert data aan op vraag van de data scientists of BI’ers
het implementeren (inclusief testing) van gekozen oplossing;
het leveren in korte cyclussen en in nauwe samenwerking met de business (agile).



ontwikkelt de data engineering: het extraheren van de data uit de databronnen (via SAP Data Services en/of python scripting)
levert een gedocumenteerde & geteste ETL processen op
produceert test plannen om performantie & unit testing te bekomen (voorkomen regressie,…)
kan performante data modellen & data marts maken, die gemodelleerd worden in SAP HANA volgens het Kimball principe (Hana Native)

dit allemaal moet voldoen aan het uitgewerkte governance kader.
De Data Engineer verzorgt mede de rapportering naar de Teamlead en naar het hogere ICT management.

Vereisten



Data Engineering
Python scripting is een must of aantoonbare kennis in het programmeren
Sap Data services of aantoonbare kennis met een equivalent ETL tool (job organisatie, verschillende types jobs, …. )
Kennis met cloud sources (api , … ) is een must (vb. log analytics , … )
SAP Hana
Kennis Kimball approach is een must (keuze dim/fact, documentatie, … )
Sterke SQL / modelleer kennis is een must (model optimalisatie, … )



Wenselijke competenties die minder noodzakelijk zijn:

Kennis is dit domein is een plusplunt
Spark (python , scala, … )
Hadoop stack (NiFi, …)
Orc, Parquet,…
Streaming
Kubernetes , docker , openshift
….

Reporting
Power BI + Power BI service is een pluspunt (DAX/M-query)



UML kennis, ERD kennis is een plusplunt
Git kennis is een pluspunt
Teamplayer (werken volgens het scrummodel – agile)
NL/FR/ENG

4-10 year experience",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-anankei-1908459649?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"zaventem, flemish region, belgium"
12,12,12,Data Engineer - Business Analyst,SWIFT,"Brussels, Brussels Region, Belgium",Not informed.,2,"Company & Department Description

About The Role

Working for SWIFT means working at the heart of the financial services industry, an industry were business challenges and opportunities grow every day.
At SWIFT, we see Professional Services as a means to help our customers adhere to regulation, reduce costs and risks, streamline and ensure smooth operations, improve our customer’s experience and/or develop their staff to the level they need.
Our goal is to help our customers use SWIFT in the best way possible and excel faster.

In the Services Enablement and Customer Operations department, we are providing shared services to the Professional Services delivery organization and the commercial teams to define and manage the services portfolio, ensure correct delivery of services packages and ensure correct revenue recognition of payable services.
In support of this, the Service analytics and reporting team, within Services Marketing and Engineering is hiring a Data Engineer to set up and improve data streams to a central data hub, from which service delivery performance data can be analyzed. The Data Engineer will be taking care of preparing the big data infrastructure to be analyzed by data scientist.
The job requires close collaboration with the regional services delivery teams, with an initial focus on consulting and professional services. Key tasks include the definition of design, build and integrate data pipes from multiple sources where services data is available, but not exploitable today. In collaboration with the team, the Data Engineer will need data ingestion rules and data management tools, so that large amounts of data can be analyzed by our business analysts and data scientists.
This is a unique opportunity for a team player who likes a complex and challenging environment and wants to develop her/his big data engineering and mining skills, as well as networking skills to deliver top quality work with impact on the future of a world-class customer services.











University degree in IT/Data Engineering or equivalent professional experience preferably with 3 to 5 years of experience in a similar role.



Passionate about Big data, data engineering and science.
Excellent analytics skills on large data sets and have the ability to synthesis into key findings
Knowledge of databases
Knowledge of SQL, Hadoop, Kafka
Knowledge of programming languages R, R Studio, Python
Knowledge of data visualization tools (Microstrategies, Shiny, Tableau, Kibana)
Build collaborative networks with key stakeholders.
Excellent interpersonal skills to deal with a wide range of internal customers and stakeholders.
A team player, willing to work in a multicultural environment
Fluent in English



SWIFT does not stand still. We are constantly evolving and tirelessly innovating. Working at the intersection of finance and technology is a very exciting place to be right now.

SWIFT is transforming cross-border payments, making them faster and more transparent than ever before. We are the way the world moves value — every instant of every day, in almost every country.

We are proud that what we do has a critical impact on the global financial community and touches almost every aspect of the financial world. So, what you do at SWIFT has real impact too — an impact that matters every day. Which is why you matter to us.

Joining SWIFT gives you unparalleled exposure to knowledge, expertise and technologies. If you have what it takes, you’ll be able to take on different career paths and have the opportunity to work in teams, departments and disciplines in countries around the world.

SWIFT is unique. There is no other organisation like ours in the world driving the long-term future of the financial ecosystem. You’ll be surrounded by bright, customer-focused and intellectually curious people in a collaborative, friendly, open and inclusive environment.

At SWIFT we are trusted every instant. Everything we do has an impact that matters. And as a member of our team, you are trusted to make your impact every day.",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-business-analyst-at-swift-1878592867?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer - business analyst,"brussels, brussels region, belgium"
13,13,13,Data Engineer,Big Industries,"Baal, Flemish Region, Belgium",Over 200 applicants,3,"Big Industries is seeking a Data Engineer to join our fast growing consulting team in Belgium. 

We love Big Data
Big Data means lots of data in all kinds of forms. Raw data, structured data, streaming data,…",Associate,Full-time,Consulting,Information Technology,https://be.linkedin.com/jobs/view/data-engineer-at-big-industries-1540448000?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"baal, flemish region, belgium"
14,14,14,Data Engineer,StepStone Belgium,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,4,"StepStone is one of the largest job sites in Europe and the secret of this success is mainly due to two factors: quality products and above all, passionate and talented people! As a Data Engineer you will join our Tribe and work with one of our scrum teams to help us keep our customers happy, solve the challenges of data warehousing in a rapidly growing platform whilst in an evolving marketplace. For us, teamwork is everything. We listen to each other, we adapt and we value honest feedback to help us keep on improving. Work in a Scrum team of 6 people Deliver a self-service BI model for the wider organisation Build, test, maintain and document ETL processes and data models Visualize business data needs with one of our reporting tools Support decision making in data related topics Support data analyst in capturing data needs from our internal clients You have experience in Data Warehousing, Data Modelling, Database Design, ETL You have knowledge of the AWS suite, such as AWS Redshift...",Entry level,Full-time,Information Technology,Internet,https://be.linkedin.com/jobs/view/data-engineer-at-stepstone-belgium-1880125476?refId=61d502fb-c89b-4dc0-b10a-49ab44f5865e&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"brussels, brussels region, belgium"
