,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links
0,Data/BI Engineer,Flex,"New York, NY",Over 200 applicants,3 days ago,"What is Flex:

Flex helps reduce the financial burden of Americans when it comes to their largest expense - rent. Flex offer renters a line of credit to enable them to pay with flexibility throughout the month instead of all at once before the month starts.",Associate,Full-time,Engineering,Financial Services,https://www.linkedin.com/jobs/view/data-bi-engineer-at-flex-1908504511?refId=1138b468-0afe-4813-9179-dfe429127d19&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
1,Data Engineer,Slack,"San Francisco, CA",Over 200 applicants,3 days ago,"Data Engineer

Slack is looking for a data engineer to join our Data Modeling & Architecture team. In this role, you will be working cross-functionally with business domain experts, analytics, and engineering teams to design and implement our Data Warehouse model. You will design, implement and scale data pipelines that transform billions of records into actionable data models that enable data insights.

You will work on initiatives to formalize data governance and management practices, rationalize our information lifecycle and key company metrics. You will provide hands-on technical support to build trusted and reliable metrics.

You have strong technical skills, you are comfortable contributing to a nascent data ecosystem, and you can build a strong data foundation for the company. You are a self-starter, detail and quality oriented, and passionate about having a huge impact at Slack.






Slack has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?

Slack is an Equal Opportunity Employer and participant in the U.S. Federal E-Verify program. Women, minorities, individuals with disabilities and protected veterans are encouraged to apply. Slack will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance.

Slack is a layer of the business technology stack that brings together people, data, and applications – a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has offices around the world. For more information on how Slack makes teams better connected, visit slack.com.

Ensuring a diverse and inclusive workplace where we learn from each other is core to Slack’s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.

Come do the best work of your life here at Slack.",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-slack-1884818684?refId=1138b468-0afe-4813-9179-dfe429127d19&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
2,Jr. Data Scientists,"MindPool, Inc.","New Jersey, United States",Over 200 applicants,2 weeks ago,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. 
 ",Associate,Contract,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/jr-data-scientists-at-mindpool-inc-1891843749?refId=1138b468-0afe-4813-9179-dfe429127d19&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
3,Application Engineer,Tech Mahindra,"Seattle, WA",,4 days ago,"Role: Application Engineer
Location: Seattle, WA
BASIC QUALIFICATIONS: 
Bachelor'e Degree in Computer Science or related field, or equivalent work experience",Associate,Contract,Engineering,Information Technology,https://www.linkedin.com/jobs/view/application-engineer-at-tech-mahindra-1875677673?refId=1138b468-0afe-4813-9179-dfe429127d19&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
4,R&D Engineer,PENTAX Medical Americas,"Redwood City, CA",Be among the first 25 applicants,3 days ago,"Summary

The R&D Engineer is responsible to deliver detailed analytical concepts of the next products using sound engineering judgments while considering budgetary and operational issues. Familiar with projects from start of concept to production ready with a strong attention to the scientific method. Must have a strong knowledge of CAD/CAM software and drafting procedures. Must collaborate well with other departments (i.e. Production, Material, Quality, and Regulatory) and offer a critical analysis and suggestions for other projects and Accessories when needed.






It is the ongoing policy and practice of PENTAX Medical to provide equal opportunity in employment to all employees and applicants. No person shall be discriminated against in any condition of employment because of age 40 and over, color, disability, gender identity, genetic information, military or veteran status, national origin, race, religion, sex, sexual orientation or any other applicable status protected by state or local law.",Not Applicable,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/r-d-engineer-at-pentax-medical-americas-1909718850?refId=1138b468-0afe-4813-9179-dfe429127d19&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5,Validation Engineer,Scientific Search,"Morristown, NJ",,2 days ago,"Job Description: Develop Qualification master plans, process flow diagrams, test cases, and standard operating procedures. Develop qualification documents, functional and design specifications, test protocols (IQ,OQ,PQ), and summary reports supplementing documentation provided by suppliers/contractors/OEM’s. Review Qualification or test plans issued by the suppliers/contractors for completeness and correctness. Work in a team environment. Execution of test protocols including identification and resolution of non- conformances/deviations. Conduct qualification tests of new or existing equipment, or software in accordance with internal protocols or external standards. Analyze data to perform assessment of current qualification state of equipment/facilities. Implement Risk management and assessment techniques to highlight critical equipment, identify failure modes (FEMA) and implement strong controls for risk mitigation. Prepare, maintain, or review engineering compliance documentation such as engineering change orders, schematics or protocols. Assist in training equipment operators or other staff on qualification protocols and standard operating procedures. Create, populate or maintain databases for tracking qualification activities, test results or validated systems. Prepare detailed reports or design documents based on results of qualification tests or reviews of procedures and protocols. The ideal candidates MUST also have experience with Solid Oral Dosage Manufacturing Equipment.",Entry level,Full-time,Quality Assurance,Biotechnology,https://www.linkedin.com/jobs/view/validation-engineer-at-scientific-search-1909900256?refId=1138b468-0afe-4813-9179-dfe429127d19&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
6,R&D Engineer,MillenniumSoft Inc,"Vernon Hills, IL",Be among the first 25 applicants,1 week ago,"Position : R&D Engineer

Location : Vernon Hills, IL

Duration : 12 Months Contract",Entry level,Contract,Engineering,Information Technology,https://www.linkedin.com/jobs/view/r-d-engineer-at-millenniumsoft-inc-1900107240?refId=1138b468-0afe-4813-9179-dfe429127d19&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
7,Data Engineering/Analyst- Apple Cloud Services,Apple,"Cupertino, CA",,4 weeks ago,"Summary

Do you love solving sophisticated challenges and are passionate about data? Are you an inventive, self-starter who takes pride in seeing ideas come to life on a global scale? If so, come check out our Apple Cloud Services team! We get to influence data led decisions that touch billions of Apple’s customers every day!

This is a hands-on full stack data analyst role that provides data driven insight to improve revenue, margin and the customer experience of iCloud services. You will build data engineering assets and statistical models to surface meaningful business insights and communicate results and ideas to key decision makers.

You will work closely with multi-functional teams such as marketing, finance, product engineering teams, understand their processes and analytic needs and provide insights that benefit Apple.

This is a small and outstanding technology team passionate about addressing all the big-data processing needs for iCloud. We are developing a platform that can accomplish any task with an intuitive, simple to use user interface, and easy deployment to production. Come check us out!






- Performing adhoc data analysis

- BA/BS/BE in a quantitative field (Statistics, Computer Science, Ops Research etc.)

APPLE IS AN EQUAL OPPORTUNITY EMPLOYER THAT IS COMMITTED TO INCLUSION AND DIVERSITY. WE ALSO TAKE AFFIRMATIVE ACTION TO OFFER EMPLOYMENT AND ADVANCEMENT OPPORTUNITIES TO ALL APPLICANTS, INCLUDING MINORITIES, WOMEN, PROTECTED VETERANS, AND INDIVIDUALS WITH DISABILITIES. APPLE WILL NOT DISCRIMINATE OR RETALIATE AGAINST APPLICANTS WHO INQUIRE ABOUT, DISCLOSE, OR DISCUSS THEIR COMPENSATION OR THAT OF OTHER APPLICANTS.",Not Applicable,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-engineering-analyst-apple-cloud-services-at-apple-1871273212?refId=1138b468-0afe-4813-9179-dfe429127d19&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
8,Data Engineer,Warner Bros. Entertainment,"Burbank, CA",,3 days ago,"The Job

Warner Bros. has been entertaining audiences for more than 90 years through the world’s most-loved characters and franchises. Warner Bros. employs people all over the world in a wide variety of disciplines. We're always on the lookout for energetic, creative people to join our team.

WB Technology combines Warner Bros.’ industry-leading technologists and disciplines to ensure global alignment with business strategy and accelerated delivery of innovative technology solutions studio- and industry-wide. From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units. WBT manages the Studio’s enterprise systems and solutions, emerging platforms, information security, consumer intelligence, content mastering and delivery, and more.

The WBT Data Intelligence group is seeking an enthusiastic Data Engineer to join our growing team. As a Data Engineer at WB, you will be responsible for the creating data engineering components using Snowflake in an AWS ecosystem. The Engineer will also be responsible for hands on development of high-quality scalable enterprise data solutions and data services, managing product launches and maintenance from inception to launch and through continuous delivery.

The ideal candidate must collaboratively partner across the organization to understand Warner Bros. business functions and data requirements. The engineer will translate those into data products, software features and services to allow Warner Bros. to continue to innovate. The candidate must be able to implement seamless data services across cross-functional teams and continually improve upon key performance indicators. You must also be an experienced problem-solver and be comfortable navigating ambiguity and influencing. You will work closely with product managers, project managers, data architects and data engineers to implement and maintain data pipelines leveraging emerging and established data technologies. You will need to be able to work in a constantly changing, fast-paced environment and must be able to adapt to new technologies and new ideas. You must be detail oriented, with a strong affinity for data and analytics to support business decisions.",Associate,Full-time,Information Technology,Engineering,https://www.linkedin.com/jobs/view/data-engineer-at-warner-bros-entertainment-1884885081?refId=1138b468-0afe-4813-9179-dfe429127d19&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
9,Data Scientist,Gap Inc.,"San Francisco, CA",Over 200 applicants,4 days ago,"The Product Analytics Team at Gap Inc. is a research team that applies techniques from operations research and machine learning to drive business benefits for Gap Inc. and its brands.  
  The team’s focus is on creating analytical capabilities to support product operations at Gap Inc. Areas of expertise include demand forecasting, inventory replenishment, inventory and supply chain optimization, pricing, product testing, product attributes, flexible inventory, and supply chain initiatives.",Mid-Senior level,Full-time,Engineering,Research,https://www.linkedin.com/jobs/view/data-scientist-at-gap-inc-1875697751?refId=1138b468-0afe-4813-9179-dfe429127d19&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
